LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
970751,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,1,NA,NA
970752,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,2,NA,NA
970753,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,1,NA,NA
970754,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,1,NA,NA
970755,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,1,NA,NA
970758,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2007,2,NA,NA
970759,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2007,4,NA,NA
970760,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2007,4,NA,NA
970761,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2007,4,NA,NA
970767,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,2,NA,NA
970768,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,2,NA,NA
970769,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,4,NA,NA
970770,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,1,NA,NA
970771,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,1,NA,NA
970772,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,1,NA,NA
970773,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,3,NA,NA
970774,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,3,NA,NA
970775,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,5,NA,NA
970776,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2007,2,NA,NA
970777,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2007,4,NA,NA
970778,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2007,4,NA,NA
970784,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,2,NA,NA
970785,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,9,NA,NA
970786,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,4,NA,NA
970787,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,7,NA,NA
970788,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,3,NA,NA
970789,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,3,NA,NA
970790,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2003,1,NA,NA
970796,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2001,1,NA,NA
970799,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2001,1,NA,NA
970800,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,7,NA,NA
970801,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,1999,2,NA,NA
970802,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,3,NA,NA
970807,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2001,1,NA,NA
970808,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2001,1,NA,NA
970809,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,4,NA,NA
970810,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,2,NA,NA
970811,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2012,7,NA,NA
970812,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2001,1,NA,NA
970813,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2001,1,NA,NA
