LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
710485,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710485,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710485,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710486,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710486,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710486,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710487,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710487,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710487,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710488,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710488,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710488,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710489,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710489,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710489,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710490,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710490,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710490,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710491,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710491,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710491,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710492,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710492,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710492,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710493,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710493,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710493,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710494,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710494,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710494,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710495,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710495,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710495,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710496,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710496,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710496,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710497,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710497,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710497,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710498,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710498,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710498,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710499,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710499,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710499,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710500,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710500,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710500,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710501,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710501,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710501,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710502,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710502,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710502,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710503,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710503,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710503,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710504,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710504,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710504,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710505,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710505,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710505,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710506,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710506,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710506,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710507,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710507,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710507,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710508,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710508,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710508,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710509,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710509,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710509,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710510,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710510,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710510,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710511,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710511,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710511,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710512,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710512,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710512,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710513,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710513,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710513,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710514,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710514,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710514,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710515,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710515,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710515,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
